,Times
0,0.7972838040441275
1,0.8328905510134064
2,0.9096461230074055
3,0.8387723530177027
4,0.7983389349537902
5,0.8342750699957833
6,0.8968990789726377
7,0.818327296001371
8,0.8153702130075544
9,0.8165773969958536
10,1.3191250890376978
11,0.828871630015783
12,0.9302041550399736
13,0.7842929019825533
14,0.9803420290118083
15,8.783981529006269
16,0.9082762139732949
17,0.8850725710508414
18,0.8558864369988441
19,0.9568749500322156
20,2.7695207109791227
21,2.1451777840266004
22,0.7789771379902959
23,1.1424776869826019
24,12.85604104201775
25,0.7983877870137803
26,0.88859298202442
27,0.800696655001957
28,0.8227207130403258
29,0.916243902000133
30,0.8133495580404997
31,0.9143024299992248
32,1.051556562015321
33,0.942754979012534
34,0.7813853119732812
35,0.8264519390068017
36,0.8530448710080236
37,0.8492021490237676
38,1.2515604170039296
39,0.9020614459877834
40,1.25851983303437
41,1.357534412003588
42,0.9288637690478936
43,0.8948818750213832
44,0.7894496379885823
45,0.8117270229849964
46,0.8025176280061714
47,11.593504157965071
48,0.860211981984321
49,1.1996911620371975
50,0.8596265040105209
51,0.7813549559796229
52,0.7797437440021895
53,0.8333927280036733
54,0.8672699590097181
55,0.9181405269773677
56,0.816088148043491
57,0.8147212040494196
58,0.8617171910009347
59,1.1934192769695073
60,0.9309532649931498
61,0.8227120999945328
62,0.8000719160190783
63,0.9645669380552135
64,0.7831268170266412
65,0.8425530139938928
66,0.7719729510135949
67,1.074590170988813
68,0.9867247029906139
69,0.7753361670183949
70,0.7768543399870396
71,0.889429188973736
72,0.7875754230190068
73,0.7961945239803754
74,1.0566699710325338
75,0.8706552800140344
76,0.845779686991591
77,0.8003050250117667
78,0.790822183014825
79,0.8421829710132442
80,0.8364781279815361
81,0.840737686958164
82,0.9431361969909631
83,1.1116344580077566
84,0.8115014709765092
85,0.8166500380029902
86,0.8644346580258571
87,0.8164840809768066
88,0.7807705050217919
89,0.8810703529743478
90,0.8634123270167038
91,1.0075762039632536
92,0.8653614379581995
93,0.8148576610255986
94,0.880366446042899
95,0.8795046680024825
96,0.8612116170115769
97,0.8273053669836372
98,0.7966844000038691
99,1.4346179739804938
100,0.7986508749891073
101,0.9146368610090576
102,0.8426594050251879
103,1.0006382369901985
104,9.257727358024567
105,0.919516307010781
106,0.8765789400204085
107,0.8566477849963121
108,0.9929734699544497
109,2.637155592965428
110,1.8424695080029778
111,0.8204462460125796
112,1.2442974320147187
113,13.722445146006066
114,0.8412496840464883
115,0.8353166870074347
116,0.7679492249735631
117,0.9547434149426408
118,1.0255724080489017
119,0.8066540749859996
120,0.8913176750065759
121,0.9874849420157261
122,0.9440023840288632
123,0.8146741749951616
124,0.7991508349659853
125,0.8155862219864503
126,0.883176660980098
127,1.250790718011558
128,0.9569265029858798
129,1.2252202869858593
130,1.2472646060050465
131,0.8892147139995359
132,0.8277621459565125
133,0.9014134850003757
134,0.8092464130022563
135,0.8749315079767257
136,12.45247677603038
137,0.8517502099857666
138,1.253781883046031
139,0.8655084079946391
140,0.8371163759729825
141,0.8215467070112936
142,0.8153996120090596
143,0.8990789319504984
144,1.0000532339909114
145,0.8341920159873553
146,0.8324204619857483
147,0.8648243059869856
148,1.2679574360372499
149,0.8958249790011905
150,0.8253485179739073
151,0.8719507029745728
152,0.9343231769744307
153,0.7865795340039767
154,0.8707333930069581
155,0.8089454299770296
156,1.142467130033765
157,1.047794791054912
158,0.7833356810151599
159,0.8560839470010251
160,0.8822487500146963
161,0.8536216699867509
162,0.804091613041237
163,0.9758044030168094
164,0.8691305430256762
165,0.821229160996154
166,0.8760653139906935
167,0.8620531130000018
168,0.8644666639738716
169,0.8186140870093368
170,0.9364848029799759
171,0.9120510049979202
172,1.0516892509767786
173,0.8303081339690834
174,0.8217945540091023
175,0.8602635019924492
176,0.8573444449575618
177,0.8238082180032507
178,0.8512985009583645
179,0.882410244026687
180,0.9750211699865758
181,0.8402208460029215
182,0.8609256389900111
183,0.8765948060317896
184,0.8981570749892853
185,0.8260997600154951
186,0.788198588998057
187,0.8053753069834784
188,1.4019593620323576
189,0.7980714149889536
190,0.8694577749702148
191,0.8209751630201936
192,0.9541705109877512
193,9.072362953040283
194,0.9727619820041582
195,0.9113220429862849
196,0.8347928450093605
197,0.9966003079898655
198,2.717514429008588
199,2.152303231006954
200,0.8333889689529315
201,1.228661006956827
202,13.27639871899737
203,0.8739239830174483
204,0.8104634720366448
205,0.7738926380407065
206,0.9250332319643348
207,0.9532689589541405
208,0.8537845119717531
209,0.8338863060344011
210,0.9495898800087161
211,0.9201255509979092
212,0.8328519180067815
213,0.8270110200392082
214,0.9018618910340592
215,0.9136986859957688
216,1.1578803050215356
217,0.9890617590281181
218,1.3277510660118423
219,1.3363280239864253
220,0.8664178740000352
221,0.8458940300042741
222,0.8745257880073041
223,0.8361372950021178
224,0.8225312029826455
225,11.941207855998073
226,0.8040599550004117
227,1.2306469090399332
228,0.8722889790078625
229,0.8672319950419478
230,0.8551761619746685
231,0.8465882660239004
232,0.807305987982545
233,0.9638716910267249
234,0.8130279139732011
235,0.8132959390059114
236,0.8438856659922749
237,1.1925750480149873
238,0.9155718650436029
239,0.8832684439839795
240,0.794510907959193
241,0.9628734159632586
242,0.7839865119894966
243,0.8333986109937541
244,0.843883749039378
245,1.0580205880105495
246,0.9515841879765503
247,0.7652572229853831
248,0.7891724670189433
249,0.8959906210075133
250,0.8571969239856116
251,0.8635745610226877
252,0.9114511529915035
253,0.8697492579813115
254,0.861793767020572
255,0.7874977960018441
256,0.879508774029091
257,0.8666294110007584
258,0.8465999269974418
259,0.8718296849983744
260,0.9029524449724704
261,1.0501592750078999
262,0.8056939109810628
263,0.8297898269956931
264,0.8382361640105955
265,0.8639376729843207
266,0.9214273219695315
267,0.8734675510204397
268,0.9303237819694914
269,0.9465158220264129
270,0.7900356749887578
271,0.8017034879885614
272,0.8985931790084578
273,0.917399232974276
274,0.8591574790189043
275,0.8602321909856983
276,0.8057848330354318
277,1.3074584800051525
278,0.8011125089833513
279,0.9279775770264678
280,0.8562005300191231
281,0.9011122320080176
282,8.393447694019414
283,0.8818490030243993
284,0.8466217179666273
285,0.9474944790126756
286,1.0021283169626258
287,2.7768066179705784
